Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643291,35.0164621,482.89,-0.06225,-0.0045,0.99425,-0.48,-0.46,0.1,28020.0,-1780.0,-35310.0
32.7643291,35.0164621,482.89,-0.0575,-0.00375,1.01025,0.0,-0.68,0.02,28040.0,-1800.0,-35320.0
32.7643291,35.0164621,482.89,-0.054,0.02225,0.995,0.72,0.32,-0.06,28050.0,-1820.0,-35320.0
32.7643291,35.0164621,482.89,-0.05525,0.02225,0.98125,0.14,0.84,0.0,28020.0,-1800.0,-35310.0
32.7643291,35.0164621,482.89,-0.052,-0.00575,1.007,-0.42,-0.38,-0.04,27990.0,-1810.0,-35310.0
32.7643291,35.0164621,482.89,-0.04875,0.0015,1.01525,0.08,-0.78,0.08,27980.0,-1830.0,-35300.0
32.7643291,35.0164621,482.89,-0.0525,0.02925,0.9875,0.46,0.04,0.08,28010.0,-1840.0,-35300.0
32.7643291,35.0164621,482.89,-0.05475,0.01825,0.98925,-0.22,0.0,0.08,28030.0,-1830.0,-35310.0
32.7643291,35.0164621,482.89,-0.05775,-0.00075,1.01775,-0.38,-0.6,0.06,28010.0,-1820.0,-35310.0
32.7643291,35.0164621,482.89,-0.059,0.014,1.01075,0.22,-0.22,0.1,27940.0,-1740.0,-35300.0
32.7643291,35.0164621,482.89,-0.05625,0.0235,0.9835,0.1,0.0,0.1,27900.0,-1710.0,-35310.0
32.764329,35.0164622,482.9,-0.045,0.0065,1.00025,-0.48,-0.56,0.02,27950.0,-1720.0,-35320.0
32.764329,35.0164622,482.9,-0.0435,0.0085,1.016,-0.14,-0.56,0.04,27990.0,-1760.0,-35310.0
32.764329,35.0164622,482.9,-0.05275,0.027,0.99475,0.18,0.22,0.08,27930.0,-1690.0,-35310.0
32.764329,35.0164622,482.9,-0.05975,0.01275,0.9835,-0.32,0.14,0.1,27910.0,-1700.0,-35310.0
32.764329,35.0164622,482.9,-0.05775,-0.0055,1.008,-0.38,-0.4,0.0,27900.0,-1710.0,-35300.0
32.764329,35.0164622,482.9,-0.05675,0.014,1.0105,0.42,0.06,-0.02,27890.0,-1720.0,-35300.0
32.764329,35.0164622,482.9,-0.05775,0.0365,0.98375,0.46,0.62,0.0,27950.0,-1760.0,-35300.0
32.764329,35.0164622,482.9,-0.053,0.01025,0.9875,-0.44,0.08,-0.04,27940.0,-1740.0,-35300.0
32.764329,35.0164622,482.9,-0.04775,-0.00825,1.012,-0.24,-0.38,-0.02,27880.0,-1710.0,-35300.0
32.764329,35.0164622,482.9,-0.05125,0.02075,0.99875,0.38,0.06,-0.04,27880.0,-1710.0,-35300.0
32.764329,35.0164622,482.9,-0.057,0.03175,0.98125,-0.08,0.1,0.0,27920.0,-1720.0,-35310.0
32.764329,35.0164622,482.9,-0.05675,0.00325,1.00025,-0.62,-0.4,0.02,27860.0,-1670.0,-35300.0
32.764329,35.0164622,482.9,-0.05825,-0.0015,1.011,-0.12,-0.3,0.06,27850.0,-1680.0,-35300.0
32.764329,35.0164622,482.9,-0.061,0.023,0.985,0.32,0.42,0.06,27890.0,-1720.0,-35300.0
32.764329,35.0164622,482.9,-0.053,0.0125,0.9825,-0.4,-0.02,-0.06,27880.0,-1700.0,-35300.0
32.764329,35.0164622,482.9,-0.042,-0.00875,1.01125,-0.48,-0.72,0.0,27880.0,-1690.0,-35300.0
32.764329,35.0164622,482.9,-0.044,0.0105,1.0065,0.16,0.0,0.06,27880.0,-1680.0,-35310.0
32.764329,35.0164622,482.9,-0.06075,0.015,0.97975,-0.2,0.32,0.04,27900.0,-1670.0,-35310.0
32.764329,35.0164622,482.9,-0.05325,-0.016,0.98775,-0.5,-0.44,0.0,27900.0,-1710.0,-35310.0
32.764329,35.0164622,482.9,-0.05525,-0.0155,1.014,0.14,-0.12,0.04,27940.0,-1740.0,-35310.0
32.7643291,35.0164621,482.91,-0.05675,0.024,0.99925,0.58,0.62,0.02,28020.0,-1730.0,-35320.0
32.7643291,35.0164621,482.91,-0.05825,0.01525,0.97525,-0.06,0.3,-0.06,27950.0,-1690.0,-35310.0
32.7643291,35.0164621,482.91,-0.04775,-0.01775,1.0005,-0.58,-0.58,-0.06,27940.0,-1700.0,-35310.0
32.7643291,35.0164621,482.91,-0.04575,-0.00375,1.011,0.4,-0.18,-0.04,27970.0,-1740.0,-35310.0
32.7643291,35.0164621,482.91,-0.05375,0.02375,0.98675,0.54,0.64,0.02,27990.0,-1760.0,-35300.0
32.7643291,35.0164621,482.91,-0.05875,0.00925,0.98575,-0.4,0.06,0.02,28010.0,-1780.0,-35300.0
32.7643291,35.0164621,482.91,-0.05575,-0.0075,1.01425,-0.18,-0.68,0.04,28010.0,-1770.0,-35300.0
32.7643291,35.0164621,482.91,-0.057,0.0105,1.0035,0.3,-0.18,0.0,28010.0,-1770.0,-35300.0
32.7643291,35.0164621,482.91,-0.0565,0.0185,0.9775,0.12,0.16,0.0,28000.0,-1770.0,-35300.0
32.7643291,35.0164621,482.91,-0.04875,-0.001,0.992,-0.36,-0.56,0.04,27960.0,-1730.0,-35300.0
32.7643291,35.0164621,482.91,-0.045,0.00225,1.013,-0.08,-0.8,0.08,27920.0,-1660.0,-35310.0
32.7643291,35.0164621,482.91,-0.05275,0.022,0.99725,0.28,0.08,0.02,27930.0,-1680.0,-35300.0
32.7643291,35.0164621,482.91,-0.05875,0.00775,0.9785,-0.26,0.16,0.02,27940.0,-1690.0,-35300.0
32.7643291,35.0164621,482.91,-0.0565,-0.01025,1.00175,-0.38,-0.66,-0.02,27880.0,-1660.0,-35300.0
32.7643291,35.0164621,482.91,-0.053,0.01625,1.02075,0.32,-0.66,0.0,27880.0,-1680.0,-35300.0
32.7643291,35.0164621,482.91,-0.052,0.03225,0.9935,0.18,0.06,0.0,27940.0,-1680.0,-35300.0
32.7643291,35.0164621,482.91,-0.0495,0.00125,0.98175,-0.6,-0.4,0.02,27940.0,-1670.0,-35310.0
32.7643291,35.0164621,482.91,-0.047,-0.0065,1.0045,-0.22,-0.86,0.04,27920.0,-1670.0,-35310.0
32.7643291,35.0164621,482.91,-0.04975,0.02625,1.0085,0.48,-0.3,0.08,27890.0,-1650.0,-35310.0
32.7643291,35.0164621,482.91,-0.05375,0.02875,0.99025,-0.1,0.18,0.06,27870.0,-1600.0,-35310.0
32.7643291,35.0164622,482.91,-0.05875,0.00075,0.995,-0.68,-0.46,0.14,27870.0,-1550.0,-35320.0
32.7643291,35.0164622,482.91,-0.0595,0.006,1.0075,-0.14,-0.62,0.1,27910.0,-1580.0,-35330.0
32.7643291,35.0164622,482.91,-0.05575,0.02575,0.996,0.4,-0.2,0.06,27940.0,-1600.0,-35330.0
32.7643291,35.0164622,482.91,-0.04725,0.01375,0.98875,-0.38,-0.3,0.06,27890.0,-1600.0,-35320.0
